,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
156023,2019059897,40.2934,-80.0316,CLIFTON RD,1,1.0,3.0,1.0,2019,4,17.0,2019-6,True
156026,2019059900,40.4279,-79.9353,BEECHWOOD BL,1,1.0,3.0,1.0,2019,4,17.0,2019-6,True
156036,2019059974,40.4676,-80.0311,SUPERIOR AV,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
156066,2019077353,40.4461,-80.1519,STEUBENVILLE PK,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
156068,2019077383,40.4716,-79.9667,WASHINGTON CR. BR/40TH ST,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
156069,2019077385,40.4616,-79.9671,HERRON AV,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
156070,2019077393,40.5872,-79.9994,WEST RIDGE RD,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
156096,2019060094,40.5934,-79.9478,WILLIAM FLINN HW,1,1.0,3.0,1.0,2019,4,17.0,2019-6,True
156107,2019060258,40.3557,-80.0504,WASHINGTON RD,1,1.0,3.0,1.0,2019,4,17.0,2019-6,True
156114,2019060302,40.3407,-80.0636,ORR RD,1,1.0,3.0,1.0,2019,5,17.0,2019-6,True
156121,2019086829,40.4566,-79.9686,BRERETON ST,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
156171,2019088923,40.3514,-79.8597,HUEY ST,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
156176,2019089216,40.249,-79.8771,ROBERTS HOLLOW RD,1,1.0,3.0,1.0,2019,4,17.0,2019-9,True
156204,2019089613,40.4552,-80.0201,ALLEGHENY AV,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156206,2019089626,40.4544,-79.9477,MILLVALE AV,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
156253,2019090093,40.4349,-79.8234,WILLIAM PENN HW,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156256,2019090144,40.4789,-80.043,BRIGHTON HEIGHTS BL,1,1.0,3.0,1.0,2019,7,17.0,2019-9,True
156257,2019090148,40.4906,-79.8361,VERONA RD,1,1.0,3.0,1.0,2019,7,17.0,2019-9,True
156290,2019090445,40.4306,-80.0004,1ST ST,1,1.0,3.0,1.0,2019,1,17.0,2019-9,True
156307,2019090677,40.4726,-80.2178,AIRPORT PY,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
156308,2019090714,40.4584,-79.9083,FIFTH AV,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156310,2019090768,40.4342,-79.9897,TENTH ST BR,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156331,2019090933,40.4451,-80.0005,TENTH ST BP,1,1.0,3.0,1.0,2019,1,17.0,2019-9,True
156338,2019091073,40.4529,-79.9207,SHADY AV,1,1.0,3.0,1.0,2019,3,17.0,2019-9,True
156340,2019091087,40.2409,-79.8601,ROUND HILL RD,1,1.0,3.0,1.0,2019,3,17.0,2019-9,True
156385,2019069341,40.3448,-79.9612,PLEASANT HILLS BL,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
156393,2019091571,40.4829,-79.8096,STOTLER RD,1,1.0,3.0,1.0,2019,4,17.0,2019-9,True
156394,2019091572,40.4657,-79.9294,N NEGLEY AV,1,1.0,3.0,1.0,2019,4,17.0,2019-9,True
156395,2019091579,40.4654,-79.9567,PENN AV,1,1.0,3.0,1.0,2019,4,17.0,2019-9,True
156442,2019092198,40.4188,-79.9722,SALISBURY ST,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156443,2019092204,40.3398,-79.836,ALLISON ST,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156448,2019092209,40.3657,-79.9823,BROWNSVILLE RD,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
